name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,,planet_type,temp_planet_date,temp_planet_mass,planet_radius,orbital_radius,orbital_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rowupdate
Kepler-879 b,2518,7.13 Earths,14.238,2016,,Neptune-like,2016,7.13 Earths,0.229 x Jupiter,Unknown,33.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-87 b,4168,1.02 Jupiters,14.587,2013,,Gas Giant,2013,1.02 Jupiters,1.204 x Jupiter,0.481 AU,114.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-87 c,4168,6.4 Earths,14.587,2013,,Neptune-like,2013,6.4 Earths,0.548 x Jupiter,0.676 AU,191.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-880 b,2195,7.56 Earths,11.964,2016,,Neptune-like,2016,7.56 Earths,0.237 x Jupiter,Unknown,7.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-881 b,4449,3.82 Earths,15.177,2016,,Super Earth,2016,3.82 Earths,1.78 x Earth,Unknown,4.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-06-2020
Kepler-882 b,1713,2.04 Earths,14.077,2016,,Super Earth,2016,2.04 Earths,1.23 x Earth,Unknown,4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-883 b,1791,3.82 Earths,13.007,2016,,Super Earth,2016,3.82 Earths,1.78 x Earth,Unknown,13 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-884 b,1370,2.04 Earths,13.047,2016,,Super Earth,2016,2.04 Earths,1.23 x Earth,Unknown,5.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-885 b,2062,6.8 Earths,12.788,2016,,Neptune-like,2016,6.8 Earths,0.223 x Jupiter,Unknown,18.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-886 b,2796,2.92 Earths,13.894,2016,,Super Earth,2016,2.92 Earths,1.52 x Earth,Unknown,6.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-887 b,2711,4.04 Earths,13.45,2016,,Super Earth,2016,4.04 Earths,1.84 x Earth,Unknown,20.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-887 c,2711,1.51 Earths,13.45,2016,,Super Earth,2016,1.51 Earths,1.13 x Earth,Unknown,7.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-888 b,1347,3.75 Earths,12.981,2016,,Super Earth,2016,3.75 Earths,1.76 x Earth,Unknown,70.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-889 b,1673,1.32 Earths,12.68,2016,,Super Earth,2016,1.32 Earths,1.09 x Earth,Unknown,3.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-88 d,1106,3.05046 Jupiters,13.11,2020,,Gas Giant,2020,3.05046 Jupiters,1.17 x Jupiter,Unknown,3.8 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-890 b,4524,0.184 Jupiters,15.136,2016,,Gas Giant,2016,0.184 Jupiters,0.793 x Jupiter,Unknown,52.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-891 b,4475,33.6 Earths,15.273,2016,,Neptune-like,2016,33.6 Earths,0.572 x Jupiter,Unknown,53.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-892 b,2088,8.3 Earths,15.59,2016,,Neptune-like,2016,8.3 Earths,0.251 x Jupiter,Unknown,13.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-893 b,3967,9.43 Earths,15.174,2016,,Neptune-like,2016,9.43 Earths,0.27 x Jupiter,Unknown,6.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-894 b,3556,8.15 Earths,15.406,2016,,Neptune-like,2016,8.15 Earths,0.248 x Jupiter,Unknown,9.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-895 b,1683,2.99 Earths,15.98,2016,,Super Earth,2016,2.99 Earths,1.54 x Earth,Unknown,2.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-896 b,2923,6.94 Earths,15.431,2016,,Neptune-like,2016,6.94 Earths,0.226 x Jupiter,Unknown,144.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-897 b,3742,6.3 Earths,15.079,2016,,Neptune-like,2016,6.3 Earths,0.213 x Jupiter,Unknown,8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-898 b,1562,2.83 Earths,15.939,2016,,Super Earth,2016,2.83 Earths,1.49 x Earth,Unknown,5.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-899 b,3386,7.65 Earths,15.382,2016,,Neptune-like,2016,7.65 Earths,0.239 x Jupiter,Unknown,19.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-8 b,3435,0.59 Jupiters,13.9,2010,,Gas Giant,2010,0.59 Jupiters,1.416 x Jupiter,0.0474 AU,3.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-900 b,1647,4.98 Earths,14.945,2016,,Super Earth,2016,4.98 Earths,2.08 x Earth,Unknown,7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-07-2019
Kepler-901 b,786,2.45 Earths,14.68,2016,,Super Earth,2016,2.45 Earths,1.37 x Earth,Unknown,3.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-07-2019
Kepler-902 b,2949,6.99 Earths,14.858,2016,,Neptune-like,2016,6.99 Earths,0.227 x Jupiter,Unknown,40.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-903 b,2704,4.7 Earths,14.615,2016,,Super Earth,2016,4.7 Earths,2.01 x Earth,Unknown,10.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-12-2017
Kepler-903 c,2704,6.94 Earths,14.615,2016,,Neptune-like,2016,6.94 Earths,0.226 x Jupiter,Unknown,62.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-904 b,3755,3.78 Earths,14.392,2016,,Super Earth,2016,3.78 Earths,1.77 x Earth,Unknown,3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-905 b,1700,2.57 Earths,13.95,2016,,Super Earth,2016,2.57 Earths,1.41 x Earth,Unknown,5.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-906 b,2473,5.1 Earths,13.918,2016,,Neptune-like,2016,5.1 Earths,2.11 x Earth,Unknown,41.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-907 b,1148,1.87 Earths,11.462,2016,,Super Earth,2016,1.87 Earths,1.2 x Earth,Unknown,15.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-908 b,816,1.98 Earths,11.465,2016,,Super Earth,2016,1.98 Earths,1.22 x Earth,Unknown,1.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-909 b,1037,2.76 Earths,11.51,2016,,Super Earth,2016,2.76 Earths,1.47 x Earth,Unknown,13.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-90b,2544,2.27 Earths,13.74,2013,,Super Earth,2013,2.27 Earths,1.31 x Earth,0.074 AU,7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-90c,2544,1.81 Earths,13.74,2013,,Super Earth,2013,1.81 Earths,1.19 x Earth,0.089 AU,8.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-90d,2544,8.6 Earths,13.74,2013,,Neptune-like,2013,8.6 Earths,0.256 x Jupiter,0.32 AU,59.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-90e,2544,7.56 Earths,13.74,2013,,Neptune-like,2013,7.56 Earths,0.237 x Jupiter,0.42 AU,91.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-90f,2544,8.65 Earths,13.74,2013,,Neptune-like,2013,8.65 Earths,0.257 x Jupiter,0.48 AU,124.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-10-2015
Kepler-90g,2544,0.8 Jupiters,13.74,2013,,Gas Giant,2013,0.8 Jupiters,0.723 x Jupiter,0.71 AU,210.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-90h,2544,1.2 Jupiters,13.74,2013,,Gas Giant,2013,1.2 Jupiters,1.008 x Jupiter,1.01 AU,331.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-90 i,2544,2.3 Earths,13.74,2017,,Super Earth,2017,2.3 Earths,1.32 x Earth,Unknown,14.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-910 b,1311,0.477 Earths,11.529,2016,,Terrestrial,2016,0.477 Earths,0.82 x Earth,Unknown,2.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-911 b,1850,7.27 Earths,11.829,2016,,Neptune-like,2016,7.27 Earths,0.232 x Jupiter,Unknown,20.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-912 b,4126,8.25 Earths,15.326,2016,,Neptune-like,2016,8.25 Earths,0.25 x Jupiter,Unknown,2.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-913 b,1947,4.9 Earths,15.739,2016,,Super Earth,2016,4.9 Earths,2.06 x Earth,Unknown,10.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-914 b,2212,2.48 Earths,13.548,2016,,Super Earth,2016,2.48 Earths,1.38 x Earth,Unknown,4.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-915 b,2629,2.86 Earths,13.241,2016,,Super Earth,2016,2.86 Earths,1.5 x Earth,Unknown,4.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-916 b,2508,3.75 Earths,15.175,2016,,Super Earth,2016,3.75 Earths,1.76 x Earth,Unknown,32.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-917 b,3350,4.31 Earths,15.853,2016,,Super Earth,2016,4.31 Earths,1.91 x Earth,Unknown,3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-918 b,4061,3.68 Earths,14.955,2016,,Super Earth,2016,3.68 Earths,1.74 x Earth,Unknown,4.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-919 b,3976,5.69 Earths,14.678,2016,,Neptune-like,2016,5.69 Earths,0.201 x Jupiter,Unknown,11 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21-05-2015
Kepler-91 b,4386,0.81 Jupiters,12.476,2013,,Gas Giant,2013,0.81 Jupiters,1.367 x Jupiter,0.0731 AU,6.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-920 b,3021,6.44 Earths,15.268,2016,,Neptune-like,2016,6.44 Earths,0.216 x Jupiter,Unknown,6.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-920 c,3021,13.8 Earths,15.268,2016,,Neptune-like,2016,13.8 Earths,0.339 x Jupiter,Unknown,100.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-921 b,2763,8.6 Earths,14.705,2016,,Neptune-like,2016,8.6 Earths,0.256 x Jupiter,Unknown,51.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-922 b,1820,2.6 Earths,13.745,2016,,Super Earth,2016,2.6 Earths,1.42 x Earth,Unknown,0.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-923 b,3151,2.48 Earths,14.012,2016,,Super Earth,2016,2.48 Earths,1.38 x Earth,Unknown,6.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-924 b,3246,9.64 Earths,14.137,2016,,Neptune-like,2016,9.64 Earths,0.274 x Jupiter,Unknown,61 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-925 b,2032,6.08 Earths,15.816,2016,,Neptune-like,2016,6.08 Earths,0.209 x Jupiter,Unknown,33.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-926 b,2515,5.95 Earths,14.259,2016,,Neptune-like,2016,5.95 Earths,0.206 x Jupiter,Unknown,52.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-927 b,2867,3.61 Earths,14.601,2016,,Super Earth,2016,3.61 Earths,1.72 x Earth,Unknown,9.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-928 b,1735,3.15 Earths,15.323,2016,,Super Earth,2016,3.15 Earths,1.59 x Earth,Unknown,3.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-929 b,2675,1.41 Earths,14.504,2016,,Super Earth,2016,1.41 Earths,1.11 x Earth,Unknown,0.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-04-2018
Kepler-92 b,1581,0.202 Jupiters,11.745,2013,,Gas Giant,2013,0.202 Jupiters,0.313 x Jupiter,Unknown,13.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-92 c,1581,6.1 Earths,11.745,2013,,Neptune-like,2013,6.1 Earths,0.232 x Jupiter,Unknown,26.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-92 d,1581,4.93 Earths,11.745,2015,,Super Earth,2015,4.93 Earths,2.067 x Earth,Unknown,49.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-930 b,2952,5.18 Earths,13.763,2016,,Neptune-like,2016,5.18 Earths,2.13 x Earth,Unknown,71.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-931 b,1598,2.33 Earths,14.488,2016,,Super Earth,2016,2.33 Earths,1.33 x Earth,Unknown,8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-932 b,1559,2.45 Earths,14.136,2016,,Super Earth,2016,2.45 Earths,1.37 x Earth,Unknown,1.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-933 b,3008,6.62 Earths,15.438,2016,,Neptune-like,2016,6.62 Earths,0.219 x Jupiter,Unknown,14.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-934 b,1967,5.02 Earths,15.034,2016,,Super Earth,2016,5.02 Earths,2.09 x Earth,Unknown,55.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-935 b,1572,2.39 Earths,14.9,2016,,Super Earth,2016,2.39 Earths,1.35 x Earth,Unknown,4.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-936 b,2241,2.7 Earths,14.789,2016,,Super Earth,2016,2.7 Earths,1.45 x Earth,Unknown,10.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-937 b,4834,13.4 Earths,15.194,2016,,Neptune-like,2016,13.4 Earths,0.332 x Jupiter,Unknown,67.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-937 c,4834,7.61 Earths,15.194,2016,,Neptune-like,2016,7.61 Earths,0.238 x Jupiter,Unknown,153.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-938 b,2809,5.56 Earths,15.004,2016,,Neptune-like,2016,5.56 Earths,2.22 x Earth,Unknown,52.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-939 b,3357,3.71 Earths,15.52,2016,,Super Earth,2016,3.71 Earths,1.75 x Earth,Unknown,14.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-93 b,314,3.1783 Earths,9.862,2014,,Super Earth,2014,3.1783 Earths,1.569 x Earth,0.053 AU,4.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-93 c,314,3 Jupiters,9.862,2014,,Gas Giant,2014,3 Jupiters,Unknown,Unknown,4 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-940 b,4296,11.1 Earths,15.497,2016,,Neptune-like,2016,11.1 Earths,0.298 x Jupiter,Unknown,59.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-941 b,3605,9.69 Earths,15.572,2016,,Neptune-like,2016,9.69 Earths,0.275 x Jupiter,Unknown,17.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-942 b,711,5.18 Earths,13.066,2016,,Neptune-like,2016,5.18 Earths,2.13 x Earth,Unknown,45 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-943 b,4042,29.5 Earths,15.639,2016,,Neptune-like,2016,29.5 Earths,0.529 x Jupiter,Unknown,49.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-944 b,3376,7.41 Earths,15.711,2016,,Neptune-like,2016,7.41 Earths,0.235 x Jupiter,Unknown,43.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-945 b,5033,7.41 Earths,15.86,2016,,Neptune-like,2016,7.41 Earths,0.235 x Jupiter,Unknown,31 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-946 b,2995,4.38 Earths,14.923,2016,,Super Earth,2016,4.38 Earths,1.93 x Earth,Unknown,11.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-947 b,3875,5.82 Earths,15.752,2016,,Neptune-like,2016,5.82 Earths,0.203 x Jupiter,Unknown,27 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-948 b,2884,4.08 Earths,14.786,2016,,Super Earth,2016,4.08 Earths,1.85 x Earth,Unknown,7.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-949 b,1866,8.8 Earths,14.508,2016,,Neptune-like,2016,8.8 Earths,0.26 x Jupiter,Unknown,8.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-94 b,629,10.84 Earths,12.857,2014,,Neptune-like,2014,10.84 Earths,0.313 x Jupiter,0.03106 AU,2.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-94 c,629,9.836 Jupiters,12.857,2014,,Gas Giant,2014,9.836 Jupiters,1.11 x Jupiter,Unknown,2.2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
